Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2017-04-21,CCA,173,PEK,SYD,3,E36,1,,false,,2017-04-21T00:50,2017-04-21T01:01,,,,,2017-04-21T14:50,2017-04-21T14:53,Airbus A330-200,,,,,,,,0d803104-a6c9-433d-a0c0-75a7d8bf1950,6d518838-0f6b-4a46-ae2a-efa5b86cdfc2,fa495023-95f7-46c7-abf5-69a5f2120d69,958827d6-30b4-4f21-9da2-e2e5c43635d0,,b592e11d-fad7-492c-9c29-998f09eed93e
2017-09-15,CSN,326,SYD,CAN,1,,,,false,,2017-09-15T10:45,2017-09-15T10:45,,,,,2017-09-15T18:30,,Airbus A330-300,,,,,,,,18710b1d-3fc8-4ad1-9b0c-391d6bcfe480,255d4d33-d2aa-4a84-bc7d-0613c507151f,958827d6-30b4-4f21-9da2-e2e5c43635d0,7436d9ad-c589-49cb-9578-7762e8598fdc,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2017-09-16,CSN,347,CAN,CDG,,A109,2E,,false,,2017-09-16T00:20,,,,,,2017-09-16T06:50,,Airbus A330-200,,,,,,,,8f53864b-5fc1-4711-9ae6-dfe5a9c57b72,255d4d33-d2aa-4a84-bc7d-0613c507151f,7436d9ad-c589-49cb-9578-7762e8598fdc,065a1318-77b6-4f77-98ce-95b9253f64a5,,b592e11d-fad7-492c-9c29-998f09eed93e
2017-10-03,CSN,348,CDG,CAN,2E,,,,false,,2017-10-03T12:25,,,,,,2017-10-04T06:00,,Airbus A330-200,,,,,,,,42f538d1-ce75-41e2-a37d-0e1860ce56fa,255d4d33-d2aa-4a84-bc7d-0613c507151f,065a1318-77b6-4f77-98ce-95b9253f64a5,7436d9ad-c589-49cb-9578-7762e8598fdc,,b592e11d-fad7-492c-9c29-998f09eed93e
2017-10-04,CSN,301,CAN,SYD,,A107,1,,false,,2017-10-04T08:25,,,,,,2017-10-04T20:40,,Airbus A330-300,,,,,,,,b8f0ba35-6507-40f8-928c-7ecd37e9a7b2,255d4d33-d2aa-4a84-bc7d-0613c507151f,7436d9ad-c589-49cb-9578-7762e8598fdc,958827d6-30b4-4f21-9da2-e2e5c43635d0,,6eab475b-ae92-46cd-a1b8-66937c85f7cc
2019-09-26,ACA,34,SYD,YVR,1,61,I,D51,false,,2019-09-26T10:10,2019-09-26T10:04,,,,,2019-09-26T07:30,2019-09-26T07:30,Boeing 777-200 LR,,,,,,,,32478e3b-81d9-4e1a-ae4d-255c1f87700d,e01c58da-cfd8-4db7-9078-f950d668ba1a,958827d6-30b4-4f21-9da2-e2e5c43635d0,c71de46b-62e9-43fb-83e7-1f44a3a393fe,,d2ced67b-2371-4059-8857-9a4528621b4b
2019-09-26,ACA,548,YVR,EWR,I,E73,A,,false,,2019-09-26T08:45,2019-09-26T08:48,,,,,2019-09-26T16:47,2019-09-26T17:02,Boeing 787-9,,,,,,,,8ef16ed2-a8ea-42a9-bf3c-efec642366ff,e01c58da-cfd8-4db7-9078-f950d668ba1a,c71de46b-62e9-43fb-83e7-1f44a3a393fe,4427d229-a1e2-4955-81fa-9b5c0f103f12,,c4910e5e-2c05-4d17-bc08-fa0c8c0b77d9
2019-10-03,ACA,549,EWR,YVR,A,17,I,D58,false,,2019-10-03T18:20,2019-10-03T18:33,,,,,2019-10-03T20:59,2019-10-03T21:39,Boeing 787-8,,,,,,,,9c7c3996-cf65-4f45-8b6b-16aa480f2e50,e01c58da-cfd8-4db7-9078-f950d668ba1a,4427d229-a1e2-4955-81fa-9b5c0f103f12,c71de46b-62e9-43fb-83e7-1f44a3a393fe,,4f948d40-962a-4fdf-b1d9-424282d24f76
2019-10-08,ACA,33,YVR,SYD,I,D51,1,57,false,,2019-10-08T23:50,2019-10-08T23:49,,,,,2019-10-10T09:20,2019-10-10T09:36,Boeing 777-200 LR,,,,,,,,df37fe03-a35b-412b-84f8-7f8871bda32b,e01c58da-cfd8-4db7-9078-f950d668ba1a,c71de46b-62e9-43fb-83e7-1f44a3a393fe,958827d6-30b4-4f21-9da2-e2e5c43635d0,,d2ced67b-2371-4059-8857-9a4528621b4b
2021-12-21,VOZ,1536,SYD,HBA,2,42,D,7,false,,2021-12-21T18:10,2021-12-21T18:06,,,,,,2021-12-21T19:47,Boeing 737-800,,,,,,,,c8d866c3-065b-4279-ac05-5de824dc020f,2b596251-7ba3-4470-a4bf-845085839443,958827d6-30b4-4f21-9da2-e2e5c43635d0,23990040-c8f2-414b-8fd7-705e6f4bc589,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2021-12-23,VOZ,1539,HBA,SYD,D,2,2,32,false,,2021-12-23T20:50,2021-12-23T21:24,,,,,,2021-12-23T23:04,Boeing 737-800,,,,,,,,e559a8cf-26ba-4d98-82a3-43a98121edf7,2b596251-7ba3-4470-a4bf-845085839443,23990040-c8f2-414b-8fd7-705e6f4bc589,958827d6-30b4-4f21-9da2-e2e5c43635d0,,8ad8530e-acd0-42bf-abc5-1e70c4a076bf
2022-09-21,HVN,786,SYD,HAN,1,31,2,,false,,2022-09-21T14:15,2022-09-21T14:21,,,,,2022-09-21T21:20,,Airbus A350-900,,,,,,,,480a3661-de86-4a65-b31d-e5e03a42de35,e954f8f5-08f2-47d6-81e2-4c11d9de58d4,958827d6-30b4-4f21-9da2-e2e5c43635d0,8a81e164-4c8e-4c01-8b04-b2497c51c090,,0f7e0145-14a5-4c47-aa84-f03b1ff28cd0
